ID,Risk Name,Category,Description,Impact,Mitigation Strategies,Affected Models,Severity Level,Risk Score,Source,Likelihood,Impact Severity,Governance Implications
1,Inference Output Spoofing Risk,Data Privacy,Authentication risks related to insufficient or weak verification of model interactions.,"Enables attackers to deceive models, reducing trustworthiness of AI-based decisions.","Deploy rate limiting, resource allocation management, and system redundancy measures.","GPT-3, GPT-4, PaLM, LLaMA",Medium,9.3,NIST AI RMF,Low,Severe,Needs compliance adjustments and regular audit procedures.
2,Adversarial Retraining Risk,Data Privacy,Model robustness concerns associated with resistance to input variation and prompt manipulation.,"High likelihood of confidential data exposure, causing significant organizational damage.","Implement strong encryption, rigorous access control, and continuous monitoring.","GPT-3, GPT-4, PaLM, LLaMA",Medium,7.4,ISO/IEC 27001,Medium,Severe,Involves cross-departmental coordination for risk reduction.
3,Token Reuse Risk,Confidentiality,"Risks related to inadequate model explainability, affecting transparency in decision-making.","Reduces the model's resilience to variations in input, increasing vulnerability.","Use model versioning, input entropy analysis, and robust model retraining techniques.","GPT-3, GPT-4, PaLM, LLaMA",Low,9.4,MITRE ATT&CK for AI,Low,Minimal,Demands rapid security response and real-time monitoring.
4,Prompt Context Leakage Risk,Authentication,Authorization risks stemming from improper access control measures around model functionality.,"Decreases transparency in decision-making, hindering user trust and interpretability.","Apply data anonymization, secure data handling, and transparent data governance policies.","GPT-3, GPT-4, PaLM, LLaMA",High,6.7,ISO/IEC 27001,High,Moderate,Demands rapid security response and real-time monitoring.
5,Session Fixation Risk,Model Explainability,"Risks of adversarial attacks that aim to deceive, manipulate, or exploit model responses.","Allows for unauthorized users to access model functions, compromising system security.","Establish strict access controls, regular audits, and continuous authorization checks.","GPT-3, GPT-4, PaLM, LLaMA",Critical,8.6,NIST AI RMF,Critical,Catastrophic,Involves cross-departmental coordination for risk reduction.
6,Availability Compromise Risk,Availability,Model robustness concerns associated with resistance to input variation and prompt manipulation.,Service disruption and reduced reliability of AI systems in high-stakes scenarios.,"Use model versioning, input entropy analysis, and robust model retraining techniques.","GPT-3, GPT-4, PaLM, LLaMA",High,5.4,NIST AI RMF,Low,Moderate,Involves cross-departmental coordination for risk reduction.
7,Insufficient Encryption Risk,Data Privacy,Authorization risks stemming from improper access control measures around model functionality.,"Improper access to model features, enabling unintended use or privilege escalation.",Enforce multi-factor authentication and role-based access control for model endpoints.,"GPT-3, GPT-4, PaLM, LLaMA",Medium,6.7,OWASP LLM AI Security Guide,Critical,Catastrophic,Demands rapid security response and real-time monitoring.
8,Dynamic Prompt Manipulation Risk,Data Privacy,"Risks of adversarial attacks that aim to deceive, manipulate, or exploit model responses.",Service disruption and reduced reliability of AI systems in high-stakes scenarios.,"Integrate adversarial testing, model retraining, and resilient model architectures.","GPT-3, GPT-4, PaLM, LLaMA",High,8.5,MITRE ATT&CK for AI,Low,Catastrophic,Involves cross-departmental coordination for risk reduction.
9,Model Decomposition Leakage Risk,Availability,Authentication risks related to insufficient or weak verification of model interactions.,"Potential for unauthorized modifications to model behavior, leading to erroneous outputs.","Develop compliance-based controls, legal reviews, and regular ethical audits.","GPT-3, GPT-4, PaLM, LLaMA",High,4.9,NIST AI RMF,High,Minimal,Involves cross-departmental coordination for risk reduction.
10,Hidden Input Injection Risk,Adversarial Resistance,Model robustness concerns associated with resistance to input variation and prompt manipulation.,"Enables attackers to deceive models, reducing trustworthiness of AI-based decisions.","Implement strong encryption, rigorous access control, and continuous monitoring.","GPT-3, GPT-4, PaLM, LLaMA",High,5,MITRE ATT&CK for AI,Critical,Catastrophic,Needs compliance adjustments and regular audit procedures.
11,Improper Model Scaling Risk,Availability,Model robustness concerns associated with resistance to input variation and prompt manipulation.,"Improper access to model features, enabling unintended use or privilege escalation.","Use robust input validation, adversarial training, and regular model integrity checks.","GPT-3, GPT-4, PaLM, LLaMA",Low,7.4,NIST AI RMF,Low,Severe,Requires immediate policy update and strategic oversight.
