ID,Vulnerability Name,Description,Category,Severity Level,Risk Score,Affected Models,Impact,Exploit Examples,Mitigation Strategies,Mitigation Tools,Source,Affected Deployment Environments,Detection Difficulty,Exploitation Complexity,Remediation Cost,Compliance Implications,Ethical Implications
1,Unauthorized Access,"Improper access controls allow attackers to alter or control model behavior.",Input Manipulation,Low,4.5,"GPT-3, GPT-4, PaLM, LLaMA","Potential service disruption and unauthorized data manipulation.","Misconfigured access permissions enabled unauthorized access in a social media platform.","Implement robust authentication and authorization; audit and update access controls regularly.","IAM systems like Okta or AWS IAM","OWASP LLM AI Security Guide","Cloud, On-premise",Low,Low,Low,"May breach basic security standards","Limited, but potential privacy issues"
2,Weak Data Governance,"Poor data management practices lead to tampering or corruption of model data.",Input Manipulation,High,7.7,"GPT-3, GPT-4, PaLM, LLaMA","Weakens overall security posture and data integrity.","Equifax breach due to inadequate protection of sensitive data.","Establish strict data governance policies with data classification and encryption.","Data governance platforms like Collibra or Informatica","MITRE ATT&CK for AI","Cloud, Hybrid",Medium,Medium,Medium,"Could breach GDPR/other regulations","High potential for privacy violations"
3,Unvalidated Inputs,"Lack of proper input validation can lead to injection attacks and unauthorized data disclosure.",Input Manipulation,Medium,8.1,"GPT-3, GPT-4, PaLM, LLaMA","Can cause data tampering and model corruption.","SQL injection attacks in vulnerable web applications.","Implement comprehensive input validation and sanitization using parameterized queries.","WAFs like ModSecurity","ISO/IEC 27001","Web, Cloud",Medium,Low,Low,"May violate PCI-DSS if payment data is involved","Risk of exposing user data"
4,Weak Model Parameter Encryption,"Storing model parameters without encryption allows attackers to extract or misuse sensitive data.",Model Exploitation,Critical,4.7,"GPT-3, GPT-4, PaLM, LLaMA","May allow extraction of proprietary information and unauthorized model control.","Proprietary models leaked due to unencrypted storage.","Encrypt model parameters at rest and in transit; use secure key management.","Encryption libraries like PyCrypto or AWS KMS","MITRE ATT&CK for AI","Cloud, On-premise",High,Medium,Medium,"Non-compliance with data protection regulations","High risk if sensitive training data is exposed"
5,Improper Rate Limiting,"Insufficient API rate limiting can lead to denial-of-service attacks and data manipulation.",API Security,High,8.8,"GPT-3, GPT-4, PaLM, LLaMA","Potential service disruption and system overload.","GitHub’s 2018 DDoS attack due to inadequate rate limiting.","Enforce strict rate limiting on APIs; continuously monitor traffic.","API gateways like Kong or AWS API Gateway","ISO/IEC 27001","Cloud, Hybrid",Low,Low,Low,"May conflict with SLAs and uptime requirements","Could affect service fairness"
6,Prompt Injection,"Manipulation of prompts can cause models to generate unauthorized or sensitive outputs.",Adversarial Attack,High,9.1,"GPT-3, GPT-4, PaLM, LLaMA","Leads to inaccurate outputs and potential leakage of confidential data.","Chatbots tricked into revealing confidential information via manipulated prompts.","Use strict prompt validation, sanitize inputs, and restrict output capabilities.","Input validation libraries and AI safety frameworks","NIST AI RMF","Cloud, On-premise, Web",Medium,Medium,Medium,"Could violate privacy laws","High risk of misinformation"
7,Insufficient Privacy Controls,"Lack of robust privacy measures results in the exposure of personal data and sensitive information.",Access Control,High,8.8,"GPT-3, GPT-4, PaLM, LLaMA","Increases risk of privacy breaches and data leaks.","Netflix Prize incident: re-identification of anonymized data.","Implement robust data anonymization and pseudonymization; enforce strict privacy policies.","Privacy management tools like OneTrust or Privitar","NIST AI RMF","Cloud, On-premise",High,Low,High,"Non-compliance with GDPR/CCPA","Significant privacy concerns for individuals"
8,Data Poisoning During Training,"Introduction of malicious data into training sets that skews model behavior towards attacker goals.",Input Manipulation,Critical,9.0,"GPT-3, GPT-4, PaLM, LLaMA","Can cause systemic errors and introduce hidden backdoors.","Adversaries injecting biased or malicious data into training datasets.","Employ rigorous data validation, provenance tracking, and robust training protocols.","Data validation tools and secure data pipelines","MITRE ATT&CK for AI","Cloud, Hybrid",High,High,High,"Violates data integrity standards and legal requirements","High potential for widespread harm"
9,Supply Chain Attack on LLM Components,"Compromise of third-party components or libraries can introduce vulnerabilities into the system.",Supply Chain,Critical,9.3,"GPT-3, GPT-4, PaLM, LLaMA","May introduce malicious code or systemic vulnerabilities via compromised components.","Exploitation of compromised libraries or pre-trained models.","Vet all third-party components; continuously monitor and verify integrity.","SIEM systems, code analysis tools","MITRE ATT&CK for AI","Cloud, On-premise",High,High,High,"May breach supply chain security regulations","High risk to overall system trust"
10,Biased Output Propagation,"Unintended biases in model outputs can reinforce stereotypes and lead to unfair outcomes.",Ethical & Social,High,8.0,"GPT-3, GPT-4, PaLM, LLaMA","Can cause reputational damage and legal risks, while harming affected groups.","Instances of bias in automated hiring or lending decisions.","Implement bias detection and correction; perform regular audits with diverse datasets.","Bias mitigation toolkits like IBM AI Fairness 360 or Fairlearn","OWASP LLM AI Security Guide","Cloud, On-premise, Web",Medium,Low,Medium,"May violate anti-discrimination laws","Significant ethical and societal concerns"
11,Unrestricted Function Calls,"Allowing an LLM to execute arbitrary functions may result in execution of malicious code.",Privacy Violation,Medium,8.2,"GPT-3, GPT-4, PaLM, LLaMA","Could result in unauthorized system commands and data breaches.","Instances where models executed unintended system commands.","Restrict callable functions; implement strict code execution policies and sandboxing.","Sandbox environments like Docker; function whitelisting solutions","OWASP LLM AI Security Guide","Cloud, On-premise",Medium,Medium,Medium,"May breach operational security guidelines","High risk to user data integrity"
12,Poor Model Monitoring,"Lack of continuous performance monitoring may allow model drift to go undetected.",Data Leakage,High,7.1,"GPT-3, GPT-4, PaLM, LLaMA","Leads to degradation in performance and potential security breaches.","A fraud detection model becoming ineffective over time.","Set up continuous monitoring and alerting; schedule regular model retraining.","Monitoring tools like Prometheus and Evidently AI","ISO/IEC 27001","Cloud, Hybrid",Medium,Low,Medium,"Could result in regulatory non-compliance if model performance drops","May lead to unintended decisions impacting users"
13,Undetected Model Modification,"Subtle alterations in a model that cause deviations in outputs or behavior.",API Security,Medium,6.2,"GPT-3, GPT-4, PaLM, LLaMA","Risks data integrity and reliable performance.","Instances where slight model alterations led to wrong outputs in critical systems.","Implement integrity checks and cryptographic version controls; use hash verifications.","Version control systems like Git, checksum tools","NIST AI RMF","Cloud, On-premise",Medium,Medium,Medium,"May breach internal security protocols","Risk of propagating inaccurate outputs"
14,Insecure Data Storage,"Storing sensitive data without proper encryption exposes it to theft.",Model Manipulation,Critical,5.4,"GPT-3, GPT-4, PaLM, LLaMA","Exposes sensitive information and can lead to widespread data breaches.","The 2012 LinkedIn password leak due to unencrypted storage.","Encrypt data at rest and in transit; use secure storage solutions.","Encryption tools like BitLocker or AWS Encryption Services","MITRE ATT&CK for AI","Cloud, On-premise",High,Low,Medium,"Violates data protection regulations","Severe privacy risks"
15,Training Data Replay,"Excessive exposure of training data may allow attackers to reconstruct sensitive information.",Input Manipulation,Low,5.1,"GPT-3, GPT-4, PaLM, LLaMA","May expose confidential training data.","Reconstruction of training data through repeated queries.","Limit output detail and implement differential privacy techniques.","Differential privacy libraries like TensorFlow Privacy","NIST AI RMF","Cloud, Hybrid",High,Medium,Medium,"May breach data minimization principles","Potential for personal data exposure"
16,Reinforcement Loop Exploitation,"Manipulation of feedback loops causes models to reinforce incorrect behavior.",Input Manipulation,Low,9.0,"GPT-3, GPT-4, PaLM, LLaMA","Can result in skewed recommendations or unintended model behavior.","Exploitation of feedback mechanisms in recommendation engines.","Monitor and adjust feedback channels; implement human oversight.","AI moderation services and feedback monitoring tools","OWASP LLM AI Security Guide","Cloud, On-premise",Medium,High,Medium,"Could lead to regulatory scrutiny if misused","May cause ethical issues in automated decision-making"
17,Incorrect Model Configuration,"Misconfigured settings expose models to unauthorized actions or data leakage.",Model Exploitation,Medium,7.8,"GPT-3, GPT-4, PaLM, LLaMA","Can cause operational failures and data exposure.","Debug mode left enabled in production systems.","Follow secure configuration management practices; disable debug modes in production.","Configuration management tools like Ansible or Chef","OWASP LLM AI Security Guide","Cloud, On-premise",Medium,Low,Low,"Could violate internal IT policies","May result in unintended disclosures"
18,Cache Poisoning,"Malicious data inserted into cache can disrupt or corrupt model responses.",Output Manipulation,Critical,8.0,"GPT-3, GPT-4, PaLM, LLaMA","Alters cached outputs leading to erroneous model behavior.","DNS cache poisoning attacks provide a similar threat model.","Validate cache integrity; implement robust cache eviction policies.","Secure caching solutions like Redis with security hardening","NIST AI RMF","Cloud, On-premise",High,Medium,Medium,"May conflict with data integrity standards","Risk of widespread misinformation"
19,Tampered Model Files,"Downloading or using altered model files results in compromised performance.",API Security,Critical,4.8,"GPT-3, GPT-4, PaLM, LLaMA","Leads to unauthorized modifications and potential malware execution.","Incidents of malicious code in downloaded open-source models.","Download models only from trusted sources; verify file integrity with checksums.","Checksum tools and trusted repositories like GitHub","ISO/IEC 27001","Cloud, On-premise",High,Medium,Medium,"May breach software supply regulations","High risk to system trust"
20,External System Integration Risks,"Integrations with untrusted third-party systems introduce vulnerabilities.",Model Manipulation,Low,9.7,"GPT-3, GPT-4, PaLM, LLaMA","May allow attackers to indirectly control or manipulate model outputs.","Supply chain attacks via compromised integrations.","Vet third-party systems thoroughly; monitor all external interactions.","SIEM systems like Splunk; network monitoring tools","NIST ATT&CK for AI","Cloud, Hybrid",High,High,High,"Could violate cross-industry compliance mandates","Significant risk to overall system security"
21,Logging Failures,"Inadequate logging practices can obscure security incidents or expose sensitive data.",API Security,Low,8.4,"GPT-3, GPT-4, PaLM, LLaMA","Might miss critical security events or leak personal data.","Plaintext logging of credit card numbers in debug logs.","Implement secure logging practices with sensitive data masking; review logs regularly.","ELK Stack with security configurations","MITRE ATT&CK for AI","Cloud, On-premise",Medium,Low,Low,"May breach PCI or other regulatory requirements","Potential for inadvertent data exposure"
22,Prompt Injection (Advanced),"Advanced prompt injection techniques can lead to highly targeted manipulations.",Output Manipulation,Critical,5.4,"GPT-3, GPT-4, PaLM, LLaMA","Can result in highly sensitive information leakage.","Complex prompt injection attacks used in adversarial testing.","Implement multi-layered prompt sanitization; restrict sensitive outputs.","Advanced input validation frameworks and human review","OWASP LLM AI Security Guide","Cloud, On-premise, Web",High,High,High,"Could breach multiple regulatory frameworks","High risk of targeted misinformation"
